2023-11-03 10:17:31.691 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:17:37.703 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:17:43.916 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:17:49.899 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:17:55.798 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:01.869 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:07.829 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:13.764 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:19.720 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:25.630 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:31.796 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:37.733 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:43.857 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:49.806 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:18:55.744 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:19:01.661 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:19:07.688 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:19:13.619 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:19.575 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:25.517 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:31.416 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:37.532 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:43.545 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:49.667 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:19:55.614 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:20:01.570 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:20:07.524 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
